Em que empresa podes tirar o melhor curso de C#?;Formabase;Formatejo;Formabase;Nao é possivel;Formalentejo;1
Quem foi considerado o melhor jogador de futebol do mundo em 2017?;Cristiano Ronaldo;Lionel Messi;Luis Suarez;Cristiano Ronaldo;Neymar;1
Qual e a capital do arquipelago da Madeira?;Funchal;Horta;Porto Santo;Lisboa;Funchal;1
O maior orgao do corpo humano chama-se;Pele;Pulmoes;Intestino Delgado;Pele;Figado;1
A capital da Holanda e;Amesterdao;Antuerpia;Amesterdao;Budapeste;Munique;1
Que expresao nautica foi sugerida por Alexander Bell para ser usada quando se atende o telefone?;Ahoy;Over;Hi;All aboard;Ahoy;1
O Brasil foi oficialmente descoberto por;Pedro alvares Cabral;Tristao da Cunha;Pedro alvares Cabral;Afonso de Albuquerque;Cristovao Colombo;1
Quem foi o primeiro rei de Portugal?;D. Afonso Henriques;D. Dinis I;Jose Socrates;D. Afonso Henriques;D. Pedro I;2
So um destes orgaos pertence ao sistema digestivo humano. Qual?;Esofago;Rim;Pulmao;Coracao;Esofago;2
O que podemos encontrar dentro de uma ostra?;Uma Perola;Uma Perola;Um Diamante;Um Caroço;Um Amendoim;2
Quem era o ser mitologico que transformava em pedra todos os que os vissem?;A Medusa;O Ciclope;O minotauro;Jorge Jesus;A Medusa;2
A denticao humana, em adulto, e composta por;32 dentes;24 dentes;48 dentes;45 dentes;32 dentes;2
Qual a lingua oficial da China?;Mandarim;Flamengo;Chines;Mandarim;Cantones;3
Quem comandou a segunda invasao napoleanica em Portugal?;Napoleao;Napoleao;Junot;Wellington;Soult;3
Qual foi o pais que ganhou a Eurovisao no ano 2016?;Ucrania;Ucrania;Portugal;Italia;Suecia;3
O esqueleto humano, em adulto, tem;206 Ossos;127 ossos;298 ossos;67 ossos;206 Ossos;3
